No.,Building Code,Room Code,room_capacity_indicator,room_capacity_value,room_category_1,room_category_2,room_category_3,room_category_4,room_category_5,room_category_6,room_category_7,room_category_8,room_category_NA,room_area_indicator,room_area_value,room_riv_rate_indicator,room_riv_rate_value,room_age_indicator,room_age_value,room_assessment_condition_rating_indicator,room_assessment_condition_rating_value,room_space_quality_indicator,room_space_quality_value
164,102,228,1,0,0,0,0,0,0,0,0,1,0,0,0.001429938,0,0.262266019,0,0.09202454,0,0.09202454,0,1
165,102,229,1,0,0,0,0,0,0,0,0,1,0,0,0.001783092,0,0.262266019,0,0.09202454,0,0.09202454,0,1
166,102,230,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
167,102,231,0,0.003921569,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
168,102,232,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002871871,0,0.262266019,0,0.09202454,0,0.09202454,0,1
169,102,232A,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002871871,0,0.262266019,0,0.09202454,0,0.09202454,0,1
170,102,232B,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002939836,0,0.262266019,0,0.09202454,0,0.09202454,0,1
171,102,233A,0,0.003921569,0,0,1,0,0,0,0,0,0,0,0.00567311,0,0.262266019,0,0.09202454,0,0.09202454,0,1
172,102,234,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
173,102,235,1,0,0,0,0,0,0,1,0,0,0,0,0.000409125,0,0.262266019,0,0.09202454,0,0.09202454,0,1
174,102,236,1,0,0,0,0,0,0,0,0,1,0,0,0.006020933,0,0.262266019,0,0.09202454,0,0.09202454,0,1
175,102,250,0,0.023529412,0,0,1,0,0,0,0,0,0,0,0.004717597,0,0.262266019,0,0.09202454,0,0.09202454,0,1
176,102,251,0,0.019607843,0,0,1,0,0,0,0,0,0,0,0.005606478,0,0.262266019,0,0.09202454,0,0.09202454,0,1
177,102,252,0,0.023529412,0,0,1,0,0,0,0,0,0,0,0.0068725,0,0.262266019,0,0.09202454,0,0.09202454,0,1
